"{{1}}","{{1}}"
"{{1}}","{{-1}}"
"{{(-1/2 - (I/2)*Sqrt[3])^7}}","{{(-1/2 - (I/2)*Sqrt[3])^6*(1/2 - (I/2)*Sqrt[3])}}"
"{{(-1/2 + (I/2)*Sqrt[3])^7}}","{{(-1/2 + (I/2)*Sqrt[3])^6*(1/2 + (I/2)*Sqrt[3])}}"
"{{(-1/2 + (I/2)*Sqrt[3])^7}}","{{(-1/2 - (I/2)*Sqrt[3])*(-1/2 + (I/2)*Sqrt[3])^6}}"
"{{(-1/2 - (I/2)*Sqrt[3])^7}}","{{(-1/2 - (I/2)*Sqrt[3])^6*(-1/2 + (I/2)*Sqrt[3])}}"
"{{-1}}","{{-1}}"
"{{-1}}","{{1}}"
"{{(1/2 + (I/2)*Sqrt[3])^7}}","{{(-1/2 + (I/2)*Sqrt[3])*(1/2 + (I/2)*Sqrt[3])^6}}"
"{{(1/2 - (I/2)*Sqrt[3])^7}}","{{(-1/2 - (I/2)*Sqrt[3])*(1/2 - (I/2)*Sqrt[3])^6}}"
"{{(1/2 - (I/2)*Sqrt[3])^7}}","{{(1/2 - (I/2)*Sqrt[3])^6*(1/2 + (I/2)*Sqrt[3])}}"
"{{(1/2 + (I/2)*Sqrt[3])^7}}","{{(1/2 - (I/2)*Sqrt[3])*(1/2 + (I/2)*Sqrt[3])^6}}"
