"hydrogen","H",1
"helium","He",2
"lithium","Li",3
"beryllium","Be",4
"boron","B",5
"carbon","C",6
"nitrogen","N",7
"oxygen","O",8
"fluorine","F",9
"neon","Ne",10
"sodium","Na",11
"magnesium","Mg",12
"aluminum","Al",13
"silicon","Si",14
"phosphorus","P",15
"sulfur","S",16
"chlorine","Cl",17
"argon","Ar",18
"potassium","K",19
"calcium","Ca",20
"scandium","Sc",21
"titanium","Ti",22
"vanadium","V",23
"chromium","Cr",24
"manganese","Mn",25
"iron","Fe",26
"cobalt","Co",27
"nickel","Ni",28
"copper","Cu",29
"zinc","Zn",30
"gallium","Ga",31
"germanium","Ge",32
"arsenic","As",33
"selenium","Se",34
"bromine","Br",35
"krypton","Kr",36
"rubidium","Rb",37
"strontium","Sr",38
"yttrium","Y",39
"zirconium","Zr",40
"niobium","Nb",41
"molybdenum","Mo",42
"technetium","Tc",43
"ruthenium","Ru",44
"rhodium","Rh",45
"palladium","Pd",46
"silver","Ag",47
"cadmium","Cd",48
"indium","In",49
"tin","Sn",50
"antimony","Sb",51
"tellurium","Te",52
"iodine","I",53
"xenon","Xe",54
"cesium","Cs",55
"barium","Ba",56
"lanthanum","La",57
"cerium","Ce",58
"praseodymium","Pr",59
"neodymium","Nd",60
"promethium","Pm",61
"samarium","Sm",62
"europium","Eu",63
"gadolinium","Gd",64
"terbium","Tb",65
"dysprosium","Dy",66
"holmium","Ho",67
"erbium","Er",68
"thulium","Tm",69
"ytterbium","Yb",70
"lutetium","Lu",71
"hafnium","Hf",72
"tantalum","Ta",73
"tungsten","W",74
"rhenium","Re",75
"osmium","Os",76
"iridium","Ir",77
"platinum","Pt",78
"gold","Au",79
"mercury","Hg",80
"thallium","Tl",81
"lead","Pb",82
"bismuth","Bi",83
"polonium","Po",84
"astatine","At",85
"radon","Rn",86
"francium","Fr",87
"radium","Ra",88
"actinium","Ac",89
"thorium","Th",90
"protactinium","Pa",91
"uranium","U",92
"neptunium","Np",93
"plutonium","Pu",94
"americium","Am",95
"curium","Cm",96
"berkelium","Bk",97
"californium","Cf",98
"einsteinium","Es",99
"fermium","Fm",100
"mendelevium","Md",101
"nobelium","No",102
"lawrencium","Lr",103
"rutherfordium","Rf",104
"dubnium","Db",105
"seaborgium","Sg",106
"bohrium","Bh",107
"hassium","Hs",108
"meitnerium","Mt",109
"darmstadtium","Ds",110
"roentgenium","Rg",111
"copernicium","Cn",112
"nihonium","Nh",113
"flerovium","Fl",114
"moscovium","Mc",115
"livermorium","Lv",116
"tennessine","Ts",117
"oganesson","Og",118
